family,taxon,author,native to
Anacardiaceae,Rhus taitensis,Guill.,Wallis and Futuna Islands
Apocynaceae,Cerbera manghas,L.,Wallis and Futuna Islands
Apocynaceae,Ochrosia oppositifolia,(Lam.) K.Schum.,Wallis and Futuna Islands
Araliaceae,Polyscias multijuga,(A.Gray) Harms,Wallis and Futuna Islands
Asparagaceae,Cordyline fruticosa,(L.) A.Chev.,Wallis and Futuna Islands
Boraginaceae,Cordia subcordata,Lam.,Wallis and Futuna Islands
Boraginaceae,Heliotropium arboreum,(Blanco) Mabb.,Wallis and Futuna Islands
Burseraceae,Canarium harveyi,Seem.,Wallis and Futuna Islands
Burseraceae,Canarium vanikoroense,Leenh.,Wallis and Futuna Islands
Cannabaceae,Celtis harperi,Horne ex Baker,Wallis and Futuna Islands
Chrysobalanaceae,Atuna excelsa,(Jack) Kosterm.,Wallis and Futuna Islands
Combretaceae,Terminalia catappa,L.,Wallis and Futuna Islands
Combretaceae,Terminalia samoensis,Rech.,Wallis and Futuna Islands
Ebenaceae,Diospyros foliosa,(Rich. ex A.Gray) Bakh.,Wallis and Futuna Islands
Ebenaceae,Diospyros major,(G.Forst.) Bakh.,Wallis and Futuna Islands
Ebenaceae,Diospyros samoensis,A.Gray,Wallis and Futuna Islands
Elaeocarpaceae,Elaeocarpus angustifolius,Blume,Wallis and Futuna Islands
Elaeocarpaceae,Elaeocarpus tonganus,Burkill,Wallis and Futuna Islands
Euphorbiaceae,Acalypha grandis,Benth.,Wallis and Futuna Islands
Euphorbiaceae,Homalanthus nutans,(G.Forst.) Guill.,Wallis and Futuna Islands
Euphorbiaceae,Macaranga harveyana,(Müll.Arg.) Müll.Arg.,Wallis and Futuna Islands
Fabaceae,Acacia simplex,(Sparrm.) Pedley,Wallis and Futuna Islands
Fabaceae,Dendrolobium umbellatum,(L.) Benth.,Wallis and Futuna Islands
Fabaceae,Inocarpus fagifer,(Parkinson ex F.A.Zorn) Fosberg,Wallis and Futuna Islands
Fabaceae,Sophora tomentosa,L.,Wallis and Futuna Islands
Gentianaceae,Fagraea berteroana,A.Gray ex Benth.,Wallis and Futuna Islands
Hernandiaceae,Hernandia nymphaeifolia,(C.Presl) Kubitzki,Wallis and Futuna Islands
Lamiaceae,Premna tahitensis,Schauer,Wallis and Futuna Islands
Lamiaceae,Vitex trifolia,L.,Wallis and Futuna Islands
Lecythidaceae,Barringtonia asiatica,(L.) Kurz,Wallis and Futuna Islands
Loganiaceae,Geniostoma rupestre,J.R.Forst. & G.Forst.,Wallis and Futuna Islands
Malvaceae,Grewia crenata,(J.R.Forst. & G.Forst.) Schinz & Guillaumin,Wallis and Futuna Islands
Malvaceae,Hibiscus tiliaceus,L.,Wallis and Futuna Islands
Malvaceae,Melochia odorata,L.f.,Wallis and Futuna Islands
Malvaceae,Sterculia fanaiho,Setch.,Wallis and Futuna Islands
Meliaceae,Aglaia saltatorum,A.C.Sm.,Wallis and Futuna Islands
Meliaceae,Aglaia samoensis,A.Gray,Wallis and Futuna Islands
Meliaceae,Didymocheton alliaceus,(G.Forst.) Mabb.,Wallis and Futuna Islands
Moraceae,Ficus obliqua,G.Forst.,Wallis and Futuna Islands
Moraceae,Ficus prolixa,G.Forst.,Wallis and Futuna Islands
Moraceae,Ficus scabra,G.Forst.,Wallis and Futuna Islands
Moraceae,Ficus tinctoria,G.Forst.,Wallis and Futuna Islands
Myristicaceae,Myristica hypargyraea,A.Gray,Wallis and Futuna Islands
Myristicaceae,Myristica inutilis,Rich. ex A.Gray,Wallis and Futuna Islands
Myrtaceae,Decaspermum fruticosum,J.R.Forst. & G.Forst.,Wallis and Futuna Islands
Myrtaceae,Syzygium clusiifolium,(A.Gray) Müll.Berol.,Wallis and Futuna Islands
Myrtaceae,Syzygium corynocarpum,(A.Gray) Müll.Berol.,Wallis and Futuna Islands
Myrtaceae,Syzygium dealbatum,(Burkill) A.C.Sm.,Wallis and Futuna Islands
Myrtaceae,Syzygium inophylloides,(A.Gray) Müll.Berol.,Wallis and Futuna Islands
Pandanaceae,Pandanus tectorius,Parkinson ex Du Roi,Wallis and Futuna Islands
Pandanaceae,Pandanus whitmeeanus,Martelli,Wallis and Futuna Islands
Phyllanthaceae,Antidesma excavatum,Miq.,Wallis and Futuna Islands
Phyllanthaceae,Bischofia javanica,Blume,Wallis and Futuna Islands
Phyllanthaceae,Phyllanthus concolor,(Müll.Arg.) Müll.Arg.,Wallis and Futuna Islands
Primulaceae,Maesa tabacifolia,Mez,Wallis and Futuna Islands
Primulaceae,Myrsine myricifolia,A.Gray,Wallis and Futuna Islands
Rhamnaceae,Alphitonia zizyphoides,(Biehler) A.Gray,Wallis and Futuna Islands
Rhizophoraceae,Bruguiera gymnorhiza,(L.) Lam.,Wallis and Futuna Islands
Rubiaceae,Aidia racemosa,(Cav.) Tirveng.,Wallis and Futuna Islands
Rubiaceae,Eumachia leptothyrsa,"(Miq.) Barrabé, C.M.Taylor & Razafim.",Wallis and Futuna Islands
Rubiaceae,Gardenia taitensis,DC.,Wallis and Futuna Islands
Rubiaceae,Guettarda speciosa,L.,Wallis and Futuna Islands
Rubiaceae,Guettardella inconspicua,(Seem.) M.E.Jansen,Wallis and Futuna Islands
Rubiaceae,Ixora calcicola,A.C.Sm.,Wallis and Futuna Islands
Rubiaceae,Mussaenda raiateensis,J.W.Moore,Wallis and Futuna Islands
Rubiaceae,Neonauclea forsteri,(Seem. ex Havil.) Merr.,Wallis and Futuna Islands
Rubiaceae,Psychotria insularum,A.Gray,Wallis and Futuna Islands
Rubiaceae,Psydrax merrillii,(Setch.) Whistler ex Mouly,Wallis and Futuna Islands
Rubiaceae,Tarenna sambucina,(G.Forst.) T.Durand ex Drake,Wallis and Futuna Islands
Rutaceae,Citrus hystrix,DC.,Wallis and Futuna Islands
Rutaceae,Micromelum minutum,(G.Forst.) Wight & Arn.,Wallis and Futuna Islands
Sapindaceae,Pometia pinnata,J.R.Forst. & G.Forst.,Wallis and Futuna Islands
Sapotaceae,Planchonella chartacea,(F.Muell. ex Benth.) H.J.Lam,Wallis and Futuna Islands
Sapotaceae,Planchonella garberi,Christoph.,Wallis and Futuna Islands
Sapotaceae,Planchonella tahitensis,(Nadeaud) Pierre ex Dubard,Wallis and Futuna Islands
Sapotaceae,Planchonella torricellensis,(K.Schum.) H.J.Lam,Wallis and Futuna Islands
Surianaceae,Suriana maritima,L.,Wallis and Futuna Islands
Urticaceae,Dendrocnide pruritivus,H.St.John,Wallis and Futuna Islands
Urticaceae,Leucosyke corymbulosa,(Wedd.) Wedd.,Wallis and Futuna Islands
Urticaceae,Pipturus argenteus,(G.Forst.) Wedd.,Wallis and Futuna Islands
Urticaceae,Pipturus vitiensis,A.C.Sm.,Wallis and Futuna Islands
