family,taxon,author,native to
Acanthaceae,Avicennia marina,(Forssk.) Vierh.,Eritrea
Acanthaceae,Barleria induta,C.B.Clarke,Eritrea
Anacardiaceae,Lannea fruticosa,(Hochst. ex A.Rich.) Engl.,Eritrea
Anacardiaceae,Lannea schimperi,(Hochst. ex A.Rich.) Engl.,Eritrea
Anacardiaceae,Pistacia falcata,Becc. ex Martelli,Eritrea
Anacardiaceae,Sclerocarya birrea,(A.Rich.) Hochst.,Eritrea
Anacardiaceae,Searsia glutinosa,(Hochst. ex A.Rich.) Moffett,Eritrea
Anacardiaceae,Searsia retinorrhoea,(Steud. ex Oliv.) Moffett,Eritrea
Anacardiaceae,Searsia ruspolii,(Engl.) Moffett,Eritrea
Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,Eritrea
Apocynaceae,Calotropis procera,(Aiton) W.T.Aiton,Eritrea
Apocynaceae,Carissa spinarum,L.,Eritrea
Araliaceae,Cussonia arborea,Hochst. ex A.Rich.,Eritrea
Araliaceae,Cussonia holstii,Harms ex Engl.,Eritrea
Arecaceae,Hyphaene thebaica,(L.) Mart.,Eritrea
Arecaceae,Phoenix reclinata,Jacq.,Eritrea
Asparagaceae,Dracaena ombet,Heuglin ex Kotschy & Peyr.,Eritrea
Asteraceae,Gymnanthemum amygdalinum,(Delile) Sch.Bip.,Eritrea
Asteraceae,Gymnanthemum myrianthum,(Hook.f.) H.Rob.,Eritrea
Asteraceae,Vernonia rueppellii,Sch.Bip. ex Walp.,Eritrea
Barbeyaceae,Barbeya oleoides,Schweinf.,Eritrea
Bignoniaceae,Kigelia africana,(Lam.) Benth.,Eritrea
Bignoniaceae,Stereospermum kunthianum,Cham.,Eritrea
Boraginaceae,Cordia africana,Lam.,Eritrea
Boraginaceae,Cordia crenata,Delile,Eritrea
Boraginaceae,Cordia sinensis,Lam.,Eritrea
Boraginaceae,Ehretia obtusifolia,Hochst. ex A.DC.,Eritrea
Burseraceae,Boswellia papyrifera,(Caill. ex Delile) Hochst.,Eritrea
Burseraceae,Commiphora africana,(A.Rich.) Engl.,Eritrea
Burseraceae,Commiphora kua,(R.Br. ex Royle) Vollesen,Eritrea
Burseraceae,Commiphora myrrha,(Nees) Engl.,Eritrea
Burseraceae,Commiphora quadricincta,Schweinf.,Eritrea
Burseraceae,Commiphora ruspolii,Chiov.,Eritrea
Burseraceae,Commiphora samharensis,Schweinf.,Eritrea
Burseraceae,Commiphora schimperi,(O.Berg) Engl.,Eritrea
Cannabaceae,Celtis africana,Burm.f.,Eritrea
Cannabaceae,Celtis toka,(Forssk.) Hepper & J.R.I.Wood,Eritrea
Capparaceae,Boscia angustifolia,A.Rich.,Eritrea
Capparaceae,Boscia salicifolia,Oliv.,Eritrea
Capparaceae,Boscia senegalensis,Lam.,Eritrea
Capparaceae,Cadaba farinosa,Forssk.,Eritrea
Capparaceae,Cadaba glandulosa,Forssk.,Eritrea
Capparaceae,Cadaba longifolia,DC.,Eritrea
Capparaceae,Capparis cartilaginea,Decne.,Eritrea
Capparaceae,Capparis decidua,(Forssk.) Edgew.,Eritrea
Capparaceae,Crateva adansonii,DC.,Eritrea
Capparaceae,Maerua angolensis,DC.,Eritrea
Capparaceae,Maerua crassifolia,Forssk.,Eritrea
Capparaceae,Maerua triphylla,A.Rich.,Eritrea
Celastraceae,Gymnosporia arbutifolia,(Hochst. ex A.Rich.) Loes.,Eritrea
Celastraceae,Gymnosporia senegalensis,(Lam.) Loes.,Eritrea
Celastraceae,Gymnosporia serrata,(Hochst. ex A.Rich.) Loes.,Eritrea
Celastraceae,Maytenus undata,(Thunb.) Blakelock,Eritrea
Combretaceae,Combretum adenogonium,Steud. ex A.Rich.,Eritrea
Combretaceae,Combretum collinum,Fresen.,Eritrea
Combretaceae,Combretum hartmannianum,Schweinf.,Eritrea
Combretaceae,Combretum rochetianum,A.Rich. ex A.Juss.,Eritrea
Combretaceae,Terminalia brownii,Fresen.,Eritrea
Combretaceae,Terminalia glaucescens,Planch. ex Benth.,Eritrea
Combretaceae,Terminalia leiocarpa,(DC.) Baill.,Eritrea
Cupressaceae,Juniperus procera,Hochst. ex Endl.,Eritrea
Ebenaceae,Diospyros abyssinica,(Hiern) F.White,Eritrea
Ebenaceae,Diospyros mespiliformis,Hochst. ex A.DC.,Eritrea
Ebenaceae,Euclea racemosa,L.,Eritrea
Ericaceae,Erica arborea,L.,Eritrea
Euphorbiaceae,Acalypha fruticosa,Forssk.,Eritrea
Euphorbiaceae,Acalypha ornata,Hochst. ex A.Rich.,Eritrea
Euphorbiaceae,Croton macrostachyus,Hochst. ex Delile,Eritrea
Euphorbiaceae,Croton schimperianus,Müll.Arg.,Eritrea
Euphorbiaceae,Euphorbia abyssinica,J.F.Gmel.,Eritrea
Euphorbiaceae,Euphorbia ampliphylla,Pax,Eritrea
Euphorbiaceae,Euphorbia candelabrum,Trémaux ex Kotschy,Eritrea
Euphorbiaceae,Euphorbia cuneata,Vahl,Eritrea
Euphorbiaceae,Jatropha glauca,Vahl,Eritrea
Fabaceae,Albizia malacophylla,(A.Rich.) Walp.,Eritrea
Fabaceae,Cadia purpurea,(G.Piccioli) Aiton,Eritrea
Fabaceae,Calpurnia aurea,(Aiton) Benth.,Eritrea
Fabaceae,Cassia arereh,Delile,Eritrea
Fabaceae,Dalbergia melanoxylon,Guill. & Perr.,Eritrea
Fabaceae,Dichrostachys cinerea,(L.) Wight & Arn.,Eritrea
Fabaceae,Faidherbia albida,(Delile) A.Chev.,Eritrea
Fabaceae,Ormocarpum pubescens,(Hochst.) Cufod.,Eritrea
Fabaceae,Piliostigma thonningii,(Schumach.) Milne-Redh.,Eritrea
Fabaceae,Senegalia asak,(Forssk.) Kyal. & Boatwr.,Eritrea
Fabaceae,Senegalia laeta,(R.Br. ex Benth.) Seigler & Ebinger,Eritrea
Fabaceae,Senegalia mellifera,(Benth.) Seigler & Ebinger,Eritrea
Fabaceae,Senegalia polyacantha,(Willd.) Seigler & Ebinger,Eritrea
Fabaceae,Senegalia senegal,(L.) Britton,Eritrea
Fabaceae,Senegalia venosa,(Hochst. ex Benth.) Kyal. & Boatwr.,Eritrea
