family,taxon,author,native to
Acanthaceae,Avicennia germinans,(L.) L.,Bahamas
Anacardiaceae,Metopium toxiferum,(L.) Krug & Urb.,Bahamas
Annonaceae,Annona glabra,L.,Bahamas
Annonaceae,Annona montana,Macfad.,Bahamas
Annonaceae,Annona mucosa,Jacq.,Bahamas
Annonaceae,Annona reticulata,L.,Bahamas
Apocynaceae,Neobracea bahamensis,(Britton) Britton,Bahamas
Apocynaceae,Plumeria obtusa,L.,Bahamas
Apocynaceae,Plumeria tuberculata,G.Lodd.,Bahamas
Apocynaceae,Rauvolfia nitida,Jacq.,Bahamas
Apocynaceae,Vallesia antillana,Woodson,Bahamas
Aquifoliaceae,Ilex cassine,L.,Bahamas
Aquifoliaceae,Ilex krugiana,Loes.,Bahamas
Aquifoliaceae,Ilex nitida,(Vahl) Maxim.,Bahamas
Arecaceae,Acoelorraphe wrightii,(Griseb. & H.Wendl.) H.Wendl. ex Becc.,Bahamas
Arecaceae,Coccothrinax argentata,(Jacq.) L.H.Bailey,Bahamas
Arecaceae,Coccothrinax inaguensis,Read,Bahamas
Arecaceae,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,Bahamas
Arecaceae,Pseudophoenix sargentii,H.Wendl. ex Sarg.,Bahamas
Arecaceae,Roystonea regia,(Kunth) O.F.Cook,Bahamas
Arecaceae,Sabal palmetto,(Walter) Lodd. ex Schult. & Schult.f.,Bahamas
Arecaceae,Thrinax radiata,Lodd. ex Schult. & Schult.f.,Bahamas
Asteraceae,Ageratina havanensis,(Kunth) R.M.King & H.Rob.,Bahamas
Asteraceae,Baccharis dioica,Vahl,Bahamas
Asteraceae,Baccharis halimifolia,L.,Bahamas
Asteraceae,Gochnatia ilicifolia,Less.,Bahamas
Bignoniaceae,Catalpa macrocarpa,(A.Rich.) Ekman ex Urb.,Bahamas
Bignoniaceae,Crescentia cujete,L.,Bahamas
Bignoniaceae,Jacaranda caerulea,(L.) J.St.-Hil.,Bahamas
Bignoniaceae,Tabebuia bahamensis,(Northr.) Britton,Bahamas
Bignoniaceae,Tabebuia heterophylla,(DC.) Britton,Bahamas
Bignoniaceae,Tabebuia lepidota,(Kunth) Britton,Bahamas
Bignoniaceae,Tecoma stans,(L.) Juss. ex Kunth,Bahamas
Boraginaceae,Bourreria succulenta,Jacq.,Bahamas
Boraginaceae,Cordia sebestena,L.,Bahamas
Boraginaceae,Rochefortia spinosa,(Jacq.) Urb.,Bahamas
Boraginaceae,Varronia bahamensis,(Urb.) Millsp.,Bahamas
Burseraceae,Bursera brunea,(Urb.) Urb. & Ekman,Bahamas
Burseraceae,Bursera frenningiae,Correll,Bahamas
Burseraceae,Bursera inaguensis,Britton,Bahamas
Burseraceae,Bursera simaruba,(L.) Sarg.,Bahamas
Buxaceae,Buxus bahamensis,Baker,Bahamas
Cactaceae,Consolea macracantha,(Griseb.) A.Berger,Bahamas
Cactaceae,Consolea millspaughii,(Britton) A.Berger,Bahamas
Cactaceae,Harrisia gracilis,(Mill.) Britton,Bahamas
Cactaceae,Pilosocereus polygonus,(Lam.) Byles & G.D. Rowley,Bahamas
Cactaceae,Pilosocereus royenii,(L.) Byles & G.D.Rowley,Bahamas
Calophyllaceae,Mammea americana,L.,Bahamas
Canellaceae,Canella winterana,(L.) Gaertn.,Bahamas
Cannabaceae,Celtis iguanaea,(Jacq.) Sarg.,Bahamas
Cannabaceae,Trema lamarckianum,(Schult.) Blume,Bahamas
Capparaceae,Cynophalla flexuosa,(L.) J.Presl,Bahamas
Capparaceae,Quadrella cynophallophora,(L.) Hutch.,Bahamas
Celastraceae,Crossopetalum rhacoma,Crantz,Bahamas
Celastraceae,Elaeodendron xylocarpum,(Vent.) DC.,Bahamas
Celastraceae,Gyminda latifolia,(Sw.) Urb.,Bahamas
Celastraceae,Maytenus buxifolia,(A.Rich.) Griseb.,Bahamas
Celastraceae,Maytenus phyllanthoides,Benth.,Bahamas
Celastraceae,Schaefferia frutescens,Jacq.,Bahamas
Chrysobalanaceae,Chrysobalanus icaco,L.,Bahamas
Clusiaceae,Clusia rosea,Jacq.,Bahamas
Combretaceae,Conocarpus erectus,L.,Bahamas
Combretaceae,Laguncularia racemosa,(L.) C.F.Gaertn.,Bahamas
Combretaceae,Terminalia buceras,(L.) C.Wright,Bahamas
Combretaceae,Terminalia molinetii,M.Gómez,Bahamas
Cupressaceae,Juniperus barbadensis,L.,Bahamas
Ebenaceae,Diospyros crassinervis,(Krug & Urb.) Standl.,Bahamas
Erythroxylaceae,Erythroxylum areolatum,L.,Bahamas
Erythroxylaceae,Erythroxylum confusum,Britton,Bahamas
Erythroxylaceae,Erythroxylum rotundifolium,Lunan,Bahamas
Euphorbiaceae,Argythamnia candicans,Sw.,Bahamas
Euphorbiaceae,Bernardia dichotoma,(Willd.) Müll.Arg.,Bahamas
Euphorbiaceae,Croton discolor,Willd.,Bahamas
Euphorbiaceae,Croton eluteria,(L.) W.Wright,Bahamas
Euphorbiaceae,Croton flavens,L.,Bahamas
Euphorbiaceae,Croton glabellus,L.,Bahamas
Euphorbiaceae,Croton rosmarinoides,Millsp.,Bahamas
Euphorbiaceae,Euphorbia cassythoides,Boiss.,Bahamas
Euphorbiaceae,Euphorbia gymnonota,Urb.,Bahamas
Euphorbiaceae,Euphorbia petiolaris,Sims,Bahamas
Euphorbiaceae,Grimmeodendron eglandulosum,(A.Rich.) Urb.,Bahamas
Euphorbiaceae,Gymnanthes lucida,Sw.,Bahamas
Euphorbiaceae,Hippomane mancinella,L.,Bahamas
Euphorbiaceae,Hura crepitans,L.,Bahamas
Euphorbiaceae,Lasiocroton bahamensis,Pax & K.Hoffm.,Bahamas
Fabaceae,Ateleia gummifera,(Bertero ex DC.) D.Dietr.,Bahamas
Fabaceae,Ateleia popenoei,Correll,Bahamas
Fabaceae,Caesalpinia bahamensis,Lam.,Bahamas
Fabaceae,Dalbergia ecastaphyllum,(L.) Taub.,Bahamas
Fabaceae,Guilandina bonduc,L.,Bahamas
Fabaceae,Jupunba glauca,(Urb.) Britton & Rose,Bahamas
